#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B9C482
#Date Time: 2026-05-29 14:59:32.218
#Sample rate: 5e+07Hz
#Samples: 8192
#Trigger: Source: Trigger 1 Condition: Rising
#Channel 1: Range: 250 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 250 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-8.192e-05,-0.009978401430137741,-0.009115205055141427
-8.19e-05,-0.009640559363289227,-0.009789353228312418
-8.188e-05,-0.01031624349698626,-0.00911520505514158
-8.186000000000001e-05,-0.01031624349698626,-0.00945227914172677
-8.184e-05,-0.009640559363289227,-0.009115205055141427
-8.182e-05,-0.01031624349698626,-0.01012642731489792
-8.18e-05,-0.01031624349698626,-0.01012642731489792
-8.178000000000001e-05,-0.01099192763068298,-0.01012642731489792
-8.176e-05,-0.01031624349698626,-0.009789353228312418
-8.174e-05,-0.01099192763068328,-0.01046350140148341
-8.172e-05,-0.01099192763068328,-0.009115205055141427
-8.169999999999999e-05,-0.01065408556383477,-0.01012642731489838
-8.168e-05,-0.01065408556383477,-0.0111376495746544
-8.166e-05,-0.01031624349698626,-0.009789353228312418
-8.164e-05,-0.009302717296440713,-0.01080057548806891
-8.161999999999999e-05,-0.01099192763068298,-0.009452279141727075
-8.16e-05,-0.01031624349698656,-0.009789353228312266
-8.158e-05,-0.009978401430137741,-0.01080057548806891
-8.156e-05,-0.01031624349698626,-0.01046350140148341
-8.154e-05,-0.009978401430137895,-0.01012642731489822
-8.152000000000001e-05,-0.0103162434969861,-0.0108005754880686
-8.15e-05,-0.01099192763068328,-0.01012642731489792
-8.148e-05,-0.01099192763068328,-0.01012642731489792
-8.146e-05,-0.009640559363289227,-0.0111376495746544
-8.144000000000001e-05,-0.01099192763068267,-0.0111376495746544
-8.142e-05,-0.01166761176438031,-0.01046350140148341
-8.14e-05,-0.0113297696975318,-0.0114747236612399
-8.138e-05,-0.0113297696975318,-0.0111376495746544
-8.135999999999999e-05,-0.01132976969753149,-0.0111376495746544
-8.134e-05,-0.01065408556383477,-0.0111376495746544
-8.132e-05,-0.01065408556383477,-0.0114747236612399
-8.13e-05,-0.01031624349698626,-0.01046350140148341
-8.127999999999999e-05,-0.01065408556383492,-0.01012642731489853
-8.126e-05,-0.01099192763068313,-0.01147472366123928
-8.124e-05,-0.01065408556383477,-0.01012642731489792
-8.122e-05,-0.01031624349698626,-0.0114747236612399
-8.12e-05,-0.01132976969753164,-0.01080057548806922
-8.118000000000001e-05,-0.01099192763068344,-0.01147472366123959
