#Digilent WaveForms Scope FFT
#Device Name: Discovery2
#Serial Number: SN:210321B9C482
#Date Time: 2026-05-03 15:03:07.993

Frequency (Hz),Channel 1 (dBV),Phase (deg),Channel 2 (dBV),Phase (deg)
0,-36.99696480801171,180,-36.96577378266473,180
6103.515625,-37.30156265775388,0.4432050634540418,-37.26333533376666,0.04898785396381794
12207.03125,-40.80502121146122,-178.8786588553177,-40.76614389447844,179.8312830569363
18310.546875,-51.26495221213011,2.932385010970755,-51.37627423816163,-1.542318450746852
24414.0625,-74.51380323708273,-170.7053701596437,-79.28455781469525,126.0990301826694
30517.578125,-81.9652608450472,-118.3532253157068,-72.38400203929412,-174.8142533871772
36621.09375,-75.73291572270351,69.69527166777858,-71.57072381736482,-32.88787211648998
42724.609375,-73.43931911120539,-110.1699021864912,-72.50094317577191,101.2356143486915
48828.125,-72.69955703267165,57.48913696367491,-73.24160368384111,-114.5695246875241
54931.640625,-72.60071526241666,-135.0831462949209,-73.14670790272011,26.24950828579803
61035.15625,-74.59742728478085,29.54378226109864,-72.4817260087876,149.1710221141549
67138.671875,-77.79182336716063,-174.6219732749144,-70.79415401233885,-90.72612146878228
73242.1875,-83.10073692569549,7.292432505476605,-69.00701538636855,41.70073192540985
79345.703125,-90.55261405601271,-95.91156914369047,-67.21501949851576,174.4239234041694
85449.21875,-83.66256006625119,121.3404833174804,-66.34364284560131,-52.11469841435961
91552.734375,-78.229473506578,-71.88298074593037,-67.56774331253752,87.25413171474793
97656.25,-79.03376977966828,86.49173626229442,-70.06829322573263,-132.1172733083752
103759.765625,-80.07339325760618,-154.3893722872406,-68.05135294497106,-7.479565686443468
109863.28125,-75.98172575433392,23.74138481513273,-65.15191969606016,128.6040893228436
115966.796875,-72.13553311601734,-147.0019137430461,-65.10225846235869,-93.74989662775933
122070.3125,-69.41482486386289,29.63243621858816,-66.00545180819206,42.31836172168078
128173.828125,-67.76980698915546,-144.1906009134055,-66.05561225163895,169.0930642612732
134277.34375,-67.3890512022202,39.83758241255892,-66.29738931764061,-64.02831840995344
140380.859375,-68.11743953334579,-148.4214507657428,-68.27824948447117,57.40638473362735
146484.375,-68.52820412879406,25.12024069170017,-67.34266686265643,-170.9249851142021
152587.890625,-68.91437032475311,-157.0540402603618,-64.59427185866292,-24.79226586692937
158691.40625,-68.84335132782257,25.83747975856359,-62.99081723763283,114.3097054188409
164794.921875,-67.71196923820713,-142.5162393933861,-63.1324138061752,-108.2872336286386
170898.4375,-66.25670044824378,43.52473746295723,-63.70138354673423,27.0387436887846
177001.953125,-65.20714578394947,-137.9038612435037,-63.38518315822342,160.5233225686855
183105.46875,-64.94801389664198,39.94649601352511,-63.94908760187199,-70.68733727254869
189208.984375,-65.25314520817551,-146.416732151729,-65.03132415105036,63.98465692050424
195312.5,-65.48236480742801,20.87484256949853,-66.27002870595729,-151.4405152451748
201416.015625,-66.26519702572915,-166.6619191981699,-65.23131560892715,-15.34484743305045
207519.53125,-66.99429970856927,18.60194191318937,-65.02528395311633,114.642382457219
213623.046875,-66.00427129622454,-152.5538298160993,-65.87562865565798,-126.0177223741038
219726.5625,-64.87897497868144,33.71657429079922,-64.60771401335256,-4.77246129888938
225830.078125,-64.30519535350021,-143.4572893484556,-62.04695732513784,128.0521399501297
231933.59375,-64.66248660328833,31.30233356412291,-61.19472931258379,-93.10141859801885
238037.109375,-65.76045158639661,-158.4680210840974,-62.24373873614509,50.20430699669986
244140.625,-66.41371235200458,10.74382408144558,-63.31337441470728,-160.7182938657612
250244.140625,-66.87292286552689,-177.5385278312064,-63.32324685096744,-20.75854517465124
256347.65625,-67.38941820701461,9.572550777006443,-63.90633095428396,107.0489903796694
262451.171875,-66.09329267414523,-154.8538717243638,-64.38425942750675,-133.0195019971971
268554.6875,-64.57898554023461,29.3517442611275,-63.32939492987521,-3.397640590617182
274658.203125,-64.25514175596233,-154.0607130676128,-62.44199223304502,129.7051022502338
280761.71875,-65.1282117898798,19.27218201332564,-62.30893827824799,-97.93031722785129
