#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B9C482
#Date Time: 2026-06-04 10:16:18.821
#Sample rate: 5e+07Hz
#Samples: 8192
#Trigger: Source: Trigger 1 Condition: Rising
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-8.192e-05,-0.01470819036601694,-0.01450839044050936
-8.19e-05,-0.01470819036601694,-0.01417131635392387
-8.188e-05,-0.01538387449971397,-0.01450839044050875
-8.186000000000001e-05,-0.01538387449971397,-0.013160094094168
-8.184e-05,-0.01403250623231991,-0.01383424226733837
-8.182e-05,-0.01403250623231991,-0.01450839044050936
-8.18e-05,-0.01538387449971397,-0.01417131635392387
-8.178000000000001e-05,-0.01504603243286561,-0.0128230200075825
-8.176e-05,-0.01538387449971397,-0.01450839044050936
-8.174e-05,-0.0136946641654714,-0.01417131635392387
-8.172e-05,-0.01335682209862288,-0.01450839044050936
-8.169999999999999e-05,-0.01403250623232022,-0.01450839044050875
-8.168e-05,-0.01470819036601694,-0.01316009409416738
-8.166e-05,-0.01403250623231991,-0.01383424226733837
-8.164e-05,-0.01437034829916843,-0.01417131635392387
-8.161999999999999e-05,-0.0136946641654714,-0.01349716818075273
-8.16e-05,-0.0136946641654714,-0.01316009409416754
-8.158e-05,-0.01403250623231991,-0.01383424226733837
-8.156e-05,-0.01470819036601694,-0.01450839044050936
-8.154e-05,-0.01437034829916796,-0.01349716818075288
-8.152000000000001e-05,-0.01335682209862334,-0.01349716818075288
-8.15e-05,-0.01335682209862288,-0.01383424226733837
-8.148e-05,-0.01437034829916843,-0.01248594592099639
-8.146e-05,-0.01335682209862288,-0.01349716818075288
-8.144000000000001e-05,-0.01470819036601633,-0.01316009409416754
-8.142e-05,-0.01470819036601694,-0.01316009409416738
-8.14e-05,-0.01470819036601694,-0.01349716818075288
-8.138e-05,-0.01504603243286545,-0.01316009409416738
-8.135999999999999e-05,-0.01470819036601694,-0.013160094094168
-8.134e-05,-0.01470819036601694,-0.01450839044050936
-8.132e-05,-0.01470819036601694,-0.01383424226733837
-8.13e-05,-0.0136946641654714,-0.01417131635392387
-8.127999999999999e-05,-0.01437034829916904,-0.01417131635392387
-8.126e-05,-0.01572171656656187,-0.01417131635392387
-8.124e-05,-0.01504603243286545,-0.01585668678685135
-8.122e-05,-0.01538387449971397,-0.01484546452709486
-8.12e-05,-0.01470819036601725,-0.01484546452709425
-8.118000000000001e-05,-0.01538387449971366,-0.01349716818075349
-8.116e-05,-0.01538387449971397,-0.01349716818075288
-8.114e-05,-0.01470819036601694,-0.01450839044050936
-8.112e-05,-0.0136946641654714,-0.01349716818075288
-8.110000000000001e-05,-0.01437034829916812,-0.0145083904405089
-8.108e-05,-0.01504603243286545,-0.01383424226733837
-8.106e-05,-0.01403250623231991,-0.01484546452709486
-8.104e-05,-0.01470819036601694,-0.01484546452709486
-8.101999999999999e-05,-0.01470819036601663,-0.01349716818075303
-8.1e-05,-0.01403250623231991,-0.01383424226733837
-8.098e-05,-0.01437034829916843,-0.01383424226733837
-8.096e-05,-0.01437034829916843,-0.01417131635392387
-8.093999999999999e-05,-0.01403250623231991,-0.01450839044050906
-8.092e-05,-0.01403250623231991,-0.01383424226733837
-8.09e-05,-0.01470819036601694,-0.01450839044050936
-8.088e-05,-0.01301898003177437,-0.01484546452709486
-8.085999999999999e-05,-0.01369466416547232,-0.01383424226733868
-8.084000000000001e-05,-0.01572171656656156,-0.01450839044050906
-8.082e-05,-0.01403250623231991,-0.01316009409416738
-8.08e-05,-0.01437034829916843,-0.01383424226733837
-8.078e-05,-0.01470819036601694,-0.01316009409416738
-8.076000000000001e-05,-0.01437034829916858,-0.01214887183441135
-8.074e-05,-0.01437034829916843,-0.01316009409416738
-8.072e-05,-0.01504603243286545,-0.01282302000758188
-8.07e-05,-0.01470819036601694,-0.01214887183441089
-8.067999999999999e-05,-0.01470819036601679,-0.01282302000758188
-8.066e-05,-0.01437034829916843,-0.01282302000758188
-8.064e-05,-0.01504603243286545,-0.01248594592099639
-8.062e-05,-0.01470819036601694,-0.01316009409416738
-8.059999999999999e-05,-0.01369466416547186,-0.01282302000758173
-8.058e-05,-0.01470819036601694,-0.01248594592099639
-8.056e-05,-0.016059558633411,-0.01248594592099639
-8.054e-05,-0.01470819036601694,-0.01282302000758188
-8.051999999999999e-05,-0.01470819036601679,-0.01383424226733807
-8.050000000000001e-05,-0.01437034829916858,-0.01316009409416769
-8.048e-05,-0.01470819036601694,-0.01417131635392387
-8.046e-05,-0.01504603243286545,-0.01248594592099639
-8.044e-05,-0.01504603243286545,-0.01383424226733837
-8.042000000000001e-05,-0.01470819036601709,-0.0148454645270944
-8.04e-05,-0.016059558633411,-0.01383424226733837
-8.038e-05,-0.01470819036601694,-0.01349716818075288
-8.036e-05,-0.01470819036601694,-0.01383424226733837
-8.034000000000001e-05,-0.01470819036601694,-0.01349716818075303
-8.032e-05,-0.01301898003177437,-0.01282302000758188
