#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B9C482
#Date Time: 2026-05-29 14:16:21.104
#Sample rate: 5e+07Hz
#Samples: 8192
#Trigger: Source: Trigger 1 Condition: Rising
#Channel 1: Range: 250 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 250 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-8.192e-05,-0.02416776823777534,-0.02293524260514677
-8.19e-05,-0.02349208410407831,-0.02327231669173227
-8.188e-05,-0.02315424203723011,-0.02360939077831746
-8.186000000000001e-05,-0.02382992617092652,-0.02293524260514708
-8.184e-05,-0.0231542420372298,-0.02327231669173227
-8.182e-05,-0.02416776823777534,-0.02259816851856128
-8.18e-05,-0.02349208410407831,-0.02360939077831777
-8.178000000000001e-05,-0.02214071583668487,-0.02394646486490311
-8.176e-05,-0.02247855790353277,-0.02293524260514677
-8.174e-05,-0.02214071583668425,-0.02360939077831777
-8.172e-05,-0.0231542420372298,-0.02327231669173227
-8.169999999999999e-05,-0.02281639997038144,-0.02360939077831761
-8.168e-05,-0.0231542420372298,-0.02327231669173227
-8.166e-05,-0.0231542420372298,-0.02428353895148876
-8.164e-05,-0.02416776823777534,-0.02293524260514677
-8.161999999999999e-05,-0.02281639997038144,-0.02327231669173257
-8.16e-05,-0.02315424203722964,-0.02394646486490296
-8.158e-05,-0.02349208410407831,-0.02428353895148876
-8.156e-05,-0.02349208410407831,-0.02394646486490326
-8.154e-05,-0.02382992617092744,-0.02394646486490357
-8.152000000000001e-05,-0.02518129443832027,-0.02462061303807395
-8.15e-05,-0.02382992617092683,-0.02462061303807425
-8.148e-05,-0.02416776823777534,-0.02360939077831777
-8.146e-05,-0.02349208410407831,-0.02394646486490326
-8.144000000000001e-05,-0.02315424203722995,-0.02293524260514723
-8.142e-05,-0.02416776823777534,-0.02360939077831777
-8.14e-05,-0.02349208410407831,-0.02462061303807425
-8.138e-05,-0.02382992617092683,-0.02327231669173227
-8.135999999999999e-05,-0.02416776823777488,-0.02327231669173257
-8.134e-05,-0.0231542420372298,-0.02394646486490326
-8.132e-05,-0.0231542420372298,-0.02293524260514677
-8.13e-05,-0.02349208410407831,-0.02327231669173227
-8.127999999999999e-05,-0.02315424203722949,-0.02293524260514708
-8.126e-05,-0.02247855790353308,-0.02360939077831746
-8.124e-05,-0.02450561030462385,-0.02192402034539028
-8.122e-05,-0.02349208410407831,-0.02226109443197578
-8.12e-05,-0.02247855790353262,-0.02192402034539059
-8.118000000000001e-05,-0.02214071583668441,-0.02259816851856097
-8.116e-05,-0.02180287376983574,-0.02293524260514677
-8.114e-05,-0.02281639997038128,-0.02293524260514677
-8.112e-05,-0.0231542420372298,-0.02293524260514677
-8.110000000000001e-05,-0.02180287376983635,-0.02192402034539074
-8.108e-05,-0.02247855790353277,-0.02192402034539028
-8.106e-05,-0.02180287376983574,-0.02327231669173227
-8.104e-05,-0.02214071583668425,-0.02293524260514677
-8.101999999999999e-05,-0.02146503170298723,-0.02226109443197655
-8.1e-05,-0.02146503170298723,-0.02394646486490326
-8.098e-05,-0.02146503170298723,-0.02327231669173227
-8.096e-05,-0.02045150550244168,-0.02327231669173227
-8.093999999999999e-05,-0.02214071583668425,-0.02360939077831792
-8.092e-05,-0.02214071583668425,-0.02394646486490326
-8.09e-05,-0.02146503170298723,-0.02394646486490326
-8.088e-05,-0.0231542420372298,-0.02495768712465975
-8.085999999999999e-05,-0.02247855790353277,-0.02495768712465898
-8.084000000000001e-05,-0.02247855790353277,-0.02327231669173303
-8.082e-05,-0.02247855790353277,-0.02327231669173227
-8.08e-05,-0.02214071583668425,-0.02293524260514677
-8.078e-05,-0.02382992617092683,-0.02293524260514677
-8.076000000000001e-05,-0.02214071583668502,-0.02226109443197609
-8.074e-05,-0.02349208410407831,-0.02226109443197578
-8.072e-05,-0.02214071583668425,-0.02259816851856128
-8.07e-05,-0.02281639997038128,-0.02192402034539028
-8.067999999999999e-05,-0.02247855790353231,-0.02259816851856143
-8.066e-05,-0.02146503170298723,-0.02293524260514677
-8.064e-05,-0.02180287376983574,-0.02259816851856128
-8.062e-05,-0.02045150550244168,-0.02293524260514677
-8.059999999999999e-05,-0.02281639997038082,-0.02158694625880479
-8.058e-05,-0.02180287376983574,-0.02158694625880479
-8.056e-05,-0.02146503170298723,-0.02259816851856128
-8.054e-05,-0.02214071583668425,-0.02158694625880479
-8.051999999999999e-05,-0.02180287376983559,-0.02124987217221975
-8.050000000000001e-05,-0.02146503170298738,-0.02226109443197532
-8.048e-05,-0.02146503170298723,-0.02192402034539028
-8.046e-05,-0.02180287376983574,-0.02226109443197578
-8.044e-05,-0.02112718963613871,-0.02192402034539028
-8.042000000000001e-05,-0.02214071583668379,-0.02192402034539028
-8.04e-05,-0.02146503170298723,-0.02293524260514677
-8.038e-05,-0.02214071583668425,-0.02192402034539028
-8.036e-05,-0.02146503170298723,-0.02158694625880479
-8.034000000000001e-05,-0.02146503170298723,-0.02293524260514616
-8.032e-05,-0.02247855790353277,-0.02192402034539028
-8.03e-05,-0.02180287376983574,-0.02124987217221929
-8.028e-05,-0.02180287376983574,-0.02226109443197578
-8.025999999999999e-05,-0.02247855790353277,-0.02226109443197624
-8.024e-05,-0.02247855790353277,-0.02327231669173227
-8.022e-05,-0.02180287376983574,-0.02327231669173227
-8.02e-05,-0.02180287376983574,-0.02327231669173227
-8.017999999999999e-05,-0.02281639997038174,-0.02293524260514708
-8.016000000000001e-05,-0.02382992617092636,-0.02360939077831746
