#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B9C482
#Date Time: 2026-06-04 10:23:47.437
#Sample rate: 5e+07Hz
#Samples: 8192
#Trigger: Source: Trigger 1 Condition: Rising
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-8.192e-05,-0.01403250623231991,-0.01619376087343685
-8.19e-05,-0.01301898003177437,-0.01551961270026585
-8.188e-05,-0.01335682209862334,-0.01585668678685166
-8.186000000000001e-05,-0.01437034829916796,-0.01653083496002204
-8.184e-05,-0.01301898003177437,-0.01518253861368036
-8.182e-05,-0.01335682209862288,-0.01585668678685135
-8.18e-05,-0.0136946641654714,-0.01551961270026585
-8.178000000000001e-05,-0.01301898003177468,-0.01619376087343654
-8.176e-05,-0.01301898003177437,-0.01518253861368036
-8.174e-05,-0.01268113796492585,-0.01585668678685135
-8.172e-05,-0.01200545383122883,-0.01551961270026585
-8.169999999999999e-05,-0.01335682209862258,-0.01484546452709563
-8.168e-05,-0.01268113796492585,-0.01653083496002234
-8.166e-05,-0.01301898003177437,-0.01585668678685135
-8.164e-05,-0.01301898003177437,-0.01551961270026585
-8.161999999999999e-05,-0.01335682209862304,-0.01619376087343715
-8.16e-05,-0.01369466416547124,-0.01686790904660753
-8.158e-05,-0.01234329589807734,-0.01585668678685135
-8.156e-05,-0.0136946641654714,-0.01551961270026585
-8.154e-05,-0.01200545383122913,-0.0158566867868512
-8.152000000000001e-05,-0.01268113796492555,-0.01551961270026601
-8.15e-05,-0.01234329589807734,-0.01383424226733837
-8.148e-05,-0.0136946641654714,-0.01518253861368036
-8.146e-05,-0.01200545383122883,-0.01484546452709486
-8.144000000000001e-05,-0.01369466416547063,-0.01619376087343623
-8.142e-05,-0.01268113796492585,-0.01484546452709486
-8.14e-05,-0.01268113796492585,-0.01518253861368036
-8.138e-05,-0.0136946641654714,-0.01383424226733837
-8.135999999999999e-05,-0.01369466416547109,-0.01383424226733914
-8.134e-05,-0.01301898003177437,-0.01551961270026585
-8.132e-05,-0.0136946641654714,-0.01417131635392387
-8.13e-05,-0.01268113796492585,-0.01417131635392387
-8.127999999999999e-05,-0.01301898003177406,-0.01518253861367959
-8.126e-05,-0.01234329589807765,-0.01349716818075365
-8.124e-05,-0.01234329589807734,-0.01450839044050936
-8.122e-05,-0.0136946641654714,-0.01383424226733837
-8.12e-05,-0.01335682209862304,-0.01383424226733807
-8.118000000000001e-05,-0.01369466416547124,-0.01316009409416769
-8.116e-05,-0.01301898003177437,-0.01450839044050936
-8.114e-05,-0.0136946641654714,-0.01349716818075288
-8.112e-05,-0.0136946641654714,-0.01316009409416738
-8.110000000000001e-05,-0.01470819036601648,-0.01282302000758204
-8.108e-05,-0.0136946641654714,-0.01349716818075288
-8.106e-05,-0.0136946641654714,-0.01282302000758188
-8.104e-05,-0.01437034829916843,-0.01248594592099639
-8.101999999999999e-05,-0.01369466416547109,-0.01282302000758188
-8.1e-05,-0.01301898003177437,-0.01282302000758188
-8.098e-05,-0.0136946641654714,-0.01316009409416738
-8.096e-05,-0.0136946641654714,-0.01383424226733837
-8.093999999999999e-05,-0.01335682209862288,-0.012485945920997
-8.092e-05,-0.01335682209862288,-0.01383424226733837
-8.09e-05,-0.01335682209862288,-0.01282302000758188
-8.088e-05,-0.0136946641654714,-0.01282302000758188
-8.085999999999999e-05,-0.01335682209862304,-0.01383424226733837
-8.084000000000001e-05,-0.01369466416547124,-0.01383424226733837
-8.082e-05,-0.01301898003177437,-0.01484546452709486
-8.08e-05,-0.0136946641654714,-0.01450839044050936
-8.078e-05,-0.01403250623231991,-0.01417131635392387
-8.076000000000001e-05,-0.01369466416547155,-0.01417131635392387
-8.074e-05,-0.01437034829916843,-0.01450839044050936
-8.072e-05,-0.01335682209862288,-0.01417131635392387
-8.07e-05,-0.01335682209862288,-0.01417131635392387
-8.067999999999999e-05,-0.01268113796492585,-0.0155196127002657
-8.066e-05,-0.01268113796492585,-0.01518253861368036
-8.064e-05,-0.01268113796492585,-0.01551961270026585
-8.062e-05,-0.0136946641654714,-0.01585668678685135
-8.059999999999999e-05,-0.01268113796492616,-0.01585668678685104
-8.058e-05,-0.01335682209862288,-0.01518253861368036
-8.056e-05,-0.0136946641654714,-0.01450839044050936
-8.054e-05,-0.0136946641654714,-0.01484546452709486
-8.051999999999999e-05,-0.01335682209862334,-0.0155196127002657
-8.050000000000001e-05,-0.01437034829916796,-0.01518253861368051
-8.048e-05,-0.0136946641654714,-0.01450839044050936
-8.046e-05,-0.01403250623231991,-0.01450839044050936
-8.044e-05,-0.0136946641654714,-0.01484546452709486
-8.042000000000001e-05,-0.01437034829916812,-0.01383424226733883
-8.04e-05,-0.01301898003177437,-0.01450839044050936
-8.038e-05,-0.01538387449971397,-0.01450839044050936
-8.036e-05,-0.01437034829916843,-0.01518253861368036
-8.034000000000001e-05,-0.01437034829916843,-0.01450839044050967
-8.032e-05,-0.01470819036601694,-0.01484546452709486
-8.03e-05,-0.01470819036601694,-0.01383424226733837
-8.028e-05,-0.01504603243286545,-0.01450839044050936
-8.025999999999999e-05,-0.0150460324328653,-0.01484546452709486
-8.024e-05,-0.01470819036601694,-0.01484546452709486
-8.022e-05,-0.01504603243286545,-0.01450839044050936
-8.02e-05,-0.01470819036601694,-0.01450839044050936
-8.017999999999999e-05,-0.01437034829916858,-0.01619376087343623
-8.016000000000001e-05,-0.01470819036601679,-0.01484546452709548
-8.014e-05,-0.01504603243286545,-0.01417131635392387
-8.012e-05,-0.01403250623231991,-0.01518253861368036
-8.01e-05,-0.01369466416547155,-0.01450839044050982
-8.008000000000001e-05,-0.01403250623231976,-0.01551961270026539
-8.006e-05,-0.01301898003177437,-0.01484546452709486
-8.004e-05,-0.01470819036601694,-0.01383424226733837
-8.002e-05,-0.01403250623231991,-0.01383424226733837
-8.000000000000001e-05,-0.01369466416547155,-0.01518253861367974
-7.998e-05,-0.01403250623231991,-0.01349716818075288
-7.996e-05,-0.01403250623231991,-0.01450839044050936
-7.994e-05,-0.0136946641654714,-0.01417131635392387
-7.991999999999999e-05,-0.01301898003177514,-0.0145083904405089
-7.99e-05,-0.01470819036601694,-0.01349716818075288
-7.988e-05,-0.01470819036601694,-0.01349716818075288
-7.986e-05,-0.01437034829916843,-0.01282302000758188
-7.983999999999999e-05,-0.01470819036601694,-0.01316009409416723
